Geographic Area Name,CBSA Code,Metropolitan/Micropolitan Statistical Area,States,Population,Population change in latest year,2020 Population,2021 Population,2022 Population,2023 Population,2020 Net Population Change,2021 Net Population Change,2022  Net Population Change,2023  Net Population Change,2020 Births,2021 Births,2022 Births,2023 Births,2020 Deaths,2021 Deaths,2022 Deaths,2023 Deaths,Natural Change 2020,Natural Change 2021,Natural Change 2022,Natural Change 2023,International Migration 2020,International Migration 2021,International Migration 2022,International Migration 2023,Domestic Migration 2020,Domestic Migration 2021,Domestic Migration 2022,Domestic Migration 2023,Net Migration 2020,Net Migration 2021,Net Migration 2022,Net Migration 2023,Residual 2020,Residual 2021,Residual 2022,Residual 2023
"State College, PA",44300,Metropolitan Statistical Area,PA,157795,0.001663144,157979,157984,157533,157795,-184,5,-451,262,266,1122,1113,1088,285,1280,1235,1133,-19,-158,-122,-45,24,313,842,828,-209,-274,-1181,-528,-185,39,-339,300,20,124,10,7
"Statesboro, GA",44340,Micropolitan Statistical Area,GA,95081,0.014771017,90714,91368,93697,95081,295,654,2329,1384,262,991,995,977,179,880,903,807,83,111,92,170,0,30,57,63,197,463,2075,1151,197,493,2132,1214,15,50,105,0
"Staunton-Stuarts Draft, VA",44420,Metropolitan Statistical Area,VA,127344,0.005257424,125665,126059,126678,127344,231,394,619,666,274,1221,1238,1241,362,1591,1707,1602,-88,-370,-469,-361,0,73,163,118,324,655,937,913,324,728,1100,1031,-5,36,-12,-4
"Steamboat Springs, CO",44460,Micropolitan Statistical Area,CO,38391,0.00297829,38101,38223,38277,38391,-19,122,54,114,92,329,335,341,75,278,274,250,17,51,61,91,1,10,20,23,-44,47,-5,2,-43,57,15,25,7,14,-22,-2
"Stephenville, TX",44500,Micropolitan Statistical Area,TX,44195,0.008166617,42719,43381,43837,44195,176,662,456,358,105,446,496,501,87,443,459,423,18,3,37,78,0,16,20,20,157,643,393,261,157,659,413,281,1,0,6,-1
"Sterling, CO",44540,Micropolitan Statistical Area,CO,20619,-0.008320508,21210,21006,20792,20619,-326,-204,-214,-173,60,188,192,192,55,307,282,270,5,-119,-90,-78,0,7,24,26,-268,-100,-143,-121,-268,-93,-119,-95,-63,8,-5,0
"Sterling, IL",44580,Micropolitan Statistical Area,IL,54498,-0.001044817,55565,55302,54555,54498,-129,-263,-747,-57,161,585,533,537,183,854,783,743,-22,-269,-250,-206,0,18,32,43,-104,-42,-532,112,-104,-24,-500,155,-3,30,3,-6
"Stevens Point-Plover, WI",44620,Micropolitan Statistical Area,WI,71024,0.00552142,70405,69433,70634,71024,34,-972,1201,390,152,608,603,599,141,649,750,696,11,-41,-147,-97,2,38,121,198,0,-932,1158,292,2,-894,1279,490,21,-37,69,-3
"Stillwater, OK",44660,Micropolitan Statistical Area,OK,83352,0.007871731,81648,82163,82701,83352,1,515,538,651,182,723,754,750,146,704,774,692,36,19,-20,58,14,153,344,463,-65,287,268,130,-51,440,612,593,16,56,-54,0
"Stockton-Lodi, CA",44700,Metropolitan Statistical Area,CA,800965,0.008399923,780617,788354,794293,800965,1387,7737,5939,6672,2394,9661,10133,9570,1502,7511,6690,6313,892,2150,3443,3257,35,678,2368,2983,175,4537,611,386,210,5215,2979,3369,285,372,-483,46
"Storm Lake, IA",44740,Micropolitan Statistical Area,IA,20567,-0.003729897,20806,20790,20644,20567,-19,-16,-146,-77,58,310,298,304,54,188,188,181,4,122,110,123,6,60,149,122,-26,-200,-415,-323,-20,-140,-266,-201,-3,2,10,1
"Sturgis, MI",44780,Micropolitan Statistical Area,MI,60878,0.001645332,60941,60844,60778,60878,-1,-97,-66,100,174,688,661,645,164,763,803,734,10,-75,-142,-89,0,20,65,49,-23,-82,41,137,-23,-62,106,186,12,40,-30,3
"Sulphur Springs, TX",44860,Micropolitan Statistical Area,TX,38172,0.010028312,36827,37210,37793,38172,36,383,583,379,111,432,471,480,105,570,525,486,6,-138,-54,-6,0,24,56,58,22,499,568,329,22,523,624,387,8,-2,13,-2
"Summerville, GA",44900,Micropolitan Statistical Area,GA,25222,0.010415832,24925,24844,24962,25222,-45,-81,118,260,57,258,256,247,87,390,400,375,-30,-132,-144,-128,0,9,33,33,-19,26,234,353,-19,35,267,386,4,16,-5,2
"Sumter, SC",44940,Metropolitan Statistical Area,SC,104165,0.002203279,105476,104854,103936,104165,-72,-622,-918,229,348,1347,1334,1310,339,1516,1536,1364,9,-169,-202,-54,9,15,70,66,-110,-523,-752,215,-101,-508,-682,281,20,55,-34,2
"Sunbury, PA",44980,Micropolitan Statistical Area,PA,107980,-0.00182109,109676,109078,108177,107980,-110,-598,-901,-197,264,1116,1067,1054,346,1745,1600,1470,-82,-629,-533,-416,0,30,70,69,-56,-61,-409,152,-56,-31,-339,221,28,62,-29,-2
"Susanville, CA",45000,Micropolitan Statistical Area,CA,28861,-0.038607595,32315,31885,30020,28861,-418,-430,-1865,-1159,67,302,289,264,58,224,234,287,9,78,55,-23,0,4,32,36,-351,-489,-2118,-1179,-351,-485,-2086,-1143,-76,-23,166,7
"Sweetwater, TX",45020,Micropolitan Statistical Area,TX,14306,-0.010650069,14721,14605,14460,14306,-13,-116,-145,-154,50,198,179,178,55,228,216,209,-5,-30,-37,-31,0,20,28,26,-12,-110,-132,-148,-12,-90,-104,-122,4,4,-4,-1
"Syracuse, NY",45060,Metropolitan Statistical Area,NY,652956,-0.003152571,659556,657253,655021,652956,-2512,-2303,-2232,-2065,1673,6553,6621,6624,1719,7233,7040,6670,-46,-680,-419,-46,4,546,1307,1220,-2216,-2431,-2886,-3261,-2212,-1885,-1579,-2041,-254,262,-234,22
"Tahlequah, OK",45140,Micropolitan Statistical Area,OK,48185,0.00230894,47096,47659,48074,48185,16,563,415,111,118,565,511,514,144,633,640,588,-26,-68,-129,-74,0,16,24,38,27,617,512,145,27,633,536,183,15,-2,8,2
