Geographic Area Name,CBSA Code,Metropolitan/Micropolitan Statistical Area,States,Population,Population change in latest year,2020 Population,2021 Population,2022 Population,2023 Population,2020 Net Population Change,2021 Net Population Change,2022  Net Population Change,2023  Net Population Change,2020 Births,2021 Births,2022 Births,2023 Births,2020 Deaths,2021 Deaths,2022 Deaths,2023 Deaths,Natural Change 2020,Natural Change 2021,Natural Change 2022,Natural Change 2023,International Migration 2020,International Migration 2021,International Migration 2022,International Migration 2023,Domestic Migration 2020,Domestic Migration 2021,Domestic Migration 2022,Domestic Migration 2023,Net Migration 2020,Net Migration 2021,Net Migration 2022,Net Migration 2023,Residual 2020,Residual 2021,Residual 2022,Residual 2023
"Dalton, GA",19140,Metropolitan Statistical Area,GA,144722,0.008480541,142796,142687,143505,144722,-47,-109,818,1217,399,1624,1686,1658,331,1667,1665,1469,68,-43,21,189,2,45,120,171,-137,-206,733,857,-135,-161,853,1028,20,95,-56,0
"Danville, IL",19180,Micropolitan Statistical Area,IL,71652,-0.006254941,74009,73164,72103,71652,-195,-845,-1061,-451,214,844,853,849,237,1174,1201,1115,-23,-330,-348,-266,0,13,12,16,-165,-548,-719,-203,-165,-535,-707,-187,-7,20,-6,2
"Danville, KY",19220,Micropolitan Statistical Area,KY,55764,0.008937941,55008,54899,55270,55764,113,-109,371,494,140,612,621,623,165,829,873,767,-25,-217,-252,-144,0,9,10,19,133,69,613,616,133,78,623,635,5,30,0,3
"Danville, VA",19260,Micropolitan Statistical Area,VA,101408,-0.004251726,102946,102323,101841,101408,-142,-623,-482,-433,247,908,884,841,358,1789,1805,1666,-111,-881,-921,-825,0,24,54,28,-48,168,424,370,-48,192,478,398,17,66,-39,-6
"Daphne-Fairhope-Foley, AL",19300,Metropolitan Statistical Area,AL,253507,0.028296644,233227,239439,246531,253507,1459,6212,7092,6976,560,2337,2511,2531,602,2948,3022,2640,-42,-611,-511,-109,11,105,250,291,1613,6972,7036,6804,1624,7077,7286,7095,-123,-254,317,-10
"Davenport-Moline-Rock Island, IA-IL",19340,Metropolitan Statistical Area,IA-IL,379441,5.27094E-06,383768,381639,379439,379441,-550,-2129,-2200,2,1052,4013,4112,4168,1056,4783,4505,4161,-4,-770,-393,7,5,219,647,737,-573,-1740,-2382,-739,-568,-1521,-1735,-2,22,162,-72,-3
"Dayton-Kettering-Beavercreek, OH",19430,Metropolitan Statistical Area,OH,814363,0.002029004,814209,813802,812714,814363,159,-407,-1088,1649,2215,8919,8825,8911,2315,10961,10946,9513,-100,-2042,-2121,-602,29,702,1495,1821,-16,347,-136,424,13,1049,1359,2245,246,586,-326,6
"Decatur, AL",19460,Metropolitan Statistical Area,AL,158635,0.007731009,156377,156448,157418,158635,-121,71,970,1217,419,1795,1820,1847,494,2420,2232,1998,-75,-625,-412,-151,1,18,79,105,-59,576,1316,1260,-58,594,1395,1365,12,102,-13,3
"Decatur, IL",19500,Metropolitan Statistical Area,IL,100591,-0.007322393,103752,102597,101333,100591,-232,-1155,-1264,-742,305,1220,1158,1149,315,1462,1445,1346,-10,-242,-287,-197,0,52,141,170,-217,-971,-1118,-715,-217,-919,-977,-545,-5,6,0,0
"Decatur, IN",19540,Micropolitan Statistical Area,IN,36288,0.00378966,35849,35991,36151,36288,44,142,160,137,168,665,670,629,87,386,391,369,81,279,279,260,0,3,0,-1,-45,-153,-110,-124,-45,-150,-110,-125,8,13,-9,2
"Defiance, OH",19580,Micropolitan Statistical Area,OH,38315,0.004904532,38262,38170,38128,38315,-17,-92,-42,187,113,400,402,407,98,521,490,457,15,-121,-88,-50,0,29,86,88,-36,-16,-25,149,-36,13,61,237,4,16,-15,0
"Del Rio, TX",19620,Micropolitan Statistical Area,TX,47720,0.002163093,47605,47533,47617,47720,20,-72,84,103,190,736,806,829,103,605,496,457,87,131,310,372,1,42,96,107,-76,-264,-312,-376,-75,-222,-216,-269,8,19,-10,0
"Deltona-Daytona Beach-Ormond Beach, FL",19660,Metropolitan Statistical Area,FL,721796,0.021761749,671804,687342,706423,721796,2895,15538,19081,15373,1252,5552,5876,5925,2402,10334,11038,9749,-1150,-4782,-5162,-3824,24,454,1046,1617,4490,20730,22108,17570,4514,21184,23154,19187,-469,-864,1089,10
"Deming, NM",19700,Micropolitan Statistical Area,NM,25316,-0.014673257,25458,25471,25693,25316,32,13,222,-377,99,348,328,326,80,427,432,403,19,-79,-104,-77,1,44,109,39,7,29,217,-338,8,73,326,-299,5,19,0,-1
"Denver-Aurora-Centennial, CO",19740,Metropolitan Statistical Area,CO,3005131,0.006342865,2970119,2978016,2986190,3005131,6305,7897,8174,18941,8343,32840,33320,33256,6146,21878,23476,21167,2197,10962,9844,12089,206,2700,7002,7927,3585,-6696,-7686,-1014,3791,-3996,-684,6913,317,931,-986,-61
"DeRidder, LA",19760,Micropolitan Statistical Area,LA,36827,0.005542813,36605,36668,36624,36827,50,63,-44,203,108,528,505,508,106,483,469,433,2,45,36,75,0,7,4,8,38,-11,-68,120,38,-4,-64,128,10,22,-16,0
"Des Moines-West Des Moines, IA",19780,Metropolitan Statistical Area,IA,737164,0.010778785,711200,720756,729303,737164,1688,9556,8547,7861,2148,8870,9166,9262,1577,6189,6549,5982,571,2681,2617,3280,68,986,2689,1878,875,5738,3509,2689,943,6724,6198,4567,174,151,-268,14
"Detroit Lakes, MN",19810,Micropolitan Statistical Area,MN,35283,-0.002262252,35193,35336,35363,35283,21,143,27,-80,106,371,355,343,90,430,430,411,16,-59,-75,-68,0,6,13,11,-5,179,108,-23,-5,185,121,-12,10,17,-19,0
"Detroit-Warren-Dearborn, MI",19820,Metropolitan Statistical Area,MI,4342304,-0.001456089,4385248,4369283,4348636,4342304,-7142,-15965,-20647,-6332,12023,46211,46811,45815,15552,48572,50070,44312,-3529,-2361,-3259,1503,331,4139,11216,13785,-4673,-19612,-27807,-21764,-4342,-15473,-16591,-7979,729,1869,-797,144
"Dickinson, ND",19860,Micropolitan Statistical Area,ND,38054,0.008400244,38863,38010,37737,38054,175,-853,-273,317,156,584,573,567,70,338,336,321,86,246,237,246,3,13,27,63,85,-1066,-555,6,88,-1053,-528,69,1,-46,18,2
"Dixon, IL",19940,Micropolitan Statistical Area,IL,33654,-0.008368201,34062,34195,33938,33654,-89,133,-257,-284,78,329,340,343,101,455,425,405,-23,-126,-85,-62,0,3,18,23,-64,248,-183,-243,-64,251,-165,-220,-2,8,-7,-2
"Dodge City, KS",19980,Micropolitan Statistical Area,KS,33980,0.001650749,34215,34186,33924,33980,-73,-29,-262,56,147,594,591,602,65,298,286,276,82,296,305,326,3,75,161,70,-149,-400,-742,-346,-146,-325,-581,-276,-9,0,14,6
"Dothan, AL",20020,Metropolitan Statistical Area,AL,153349,0.005718895,151151,151523,152477,153349,150,372,954,872,421,1730,1760,1773,473,2384,2295,2061,-52,-654,-535,-288,0,27,78,100,168,941,1427,1062,168,968,1505,1162,34,58,-16,-2
"Douglas, GA",20060,Micropolitan Statistical Area,GA,51610,0.003948879,51368,51394,51407,51610,-10,26,13,203,156,698,700,697,157,687,685,623,-1,11,15,74,0,38,109,171,-22,-49,-100,-47,-22,-11,9,124,13,26,-11,5
"Dover, DE",20100,Metropolitan Statistical Area,DE,189789,0.010817116,182315,185043,187758,189789,457,2728,2715,2031,522,2002,2157,2153,516,2180,2274,2169,6,-178,-117,-16,9,106,283,263,422,2835,2541,1788,431,2941,2824,2051,20,-35,8,-4
"Dublin, GA",20140,Micropolitan Statistical Area,GA,59223,0.005125507,58718,58523,58921,59223,-40,-195,398,302,161,685,691,706,206,952,923,813,-45,-267,-232,-107,1,26,70,73,-9,11,552,336,-8,37,622,409,13,35,8,0
"DuBois, PA",20180,Micropolitan Statistical Area,PA,77090,-0.009431538,80432,78335,77824,77090,-119,-2097,-511,-734,152,663,683,675,239,1135,1244,1142,-87,-472,-561,-467,0,18,28,28,-49,-1556,73,-298,-49,-1538,101,-270,17,-87,-51,3
"Dubuque, IA",20220,Metropolitan Statistical Area,IA,98887,0.00174239,99308,98854,98715,98887,33,-454,-139,172,279,1074,1109,1115,231,1034,1113,1018,48,40,-4,97,1,51,183,105,-38,-584,-274,-31,-37,-533,-91,74,22,39,-44,1
"Duluth, MN-WI",20260,Metropolitan Statistical Area,MN-WI,281603,0.004548243,280619,280016,280328,281603,-100,-603,312,1275,618,2573,2650,2648,780,3437,3474,3212,-162,-864,-824,-564,0,69,126,137,-4,15,1091,1681,-4,84,1217,1818,66,177,-81,21
"Dumas, TX",20300,Micropolitan Statistical Area,TX,21190,0.004551057,21264,21136,21094,21190,-94,-128,-42,96,77,398,421,441,39,203,190,189,38,195,231,252,0,56,185,191,-125,-371,-470,-350,-125,-315,-285,-159,-7,-8,12,3
"Duncan, OK",20340,Micropolitan Statistical Area,OK,44014,0.009125092,42822,43110,43616,44014,-25,288,506,398,114,465,488,480,128,742,711,640,-14,-277,-223,-160,0,11,29,40,-20,553,692,520,-20,564,721,560,9,1,8,-2
"Durango, CO",20420,Micropolitan Statistical Area,CO,56407,-0.002581649,55673,56169,56553,56407,36,496,384,-146,119,435,426,414,103,442,462,455,16,-7,-36,-41,0,10,27,29,1,482,371,-134,1,492,398,-105,19,11,22,0
"Durant, OK",20460,Micropolitan Statistical Area,OK,48967,0.019338857,46330,47126,48038,48967,259,796,912,929,154,563,561,526,129,721,725,644,25,-158,-164,-118,0,12,27,42,251,968,1011,1008,251,980,1038,1050,-17,-26,38,-3
"Durham-Chapel Hill, NC",20500,Metropolitan Statistical Area,NC,608879,0.010039365,585020,595831,602827,608879,-3891,10811,6996,6052,1578,6296,6502,6498,1182,4851,4842,4548,396,1445,1660,1950,72,1213,2863,3116,-3308,8492,2661,1015,-3236,9705,5524,4131,-1051,-339,-188,-29
"Dyersburg, TN",20540,Micropolitan Statistical Area,TN,36498,0.001591658,36716,36609,36440,36498,-92,-107,-169,58,109,471,495,497,126,622,641,593,-17,-151,-146,-96,0,0,-4,0,-74,18,3,156,-74,18,-1,156,-1,26,-22,-2
"Eagle Pass, TX",20580,Metropolitan Statistical Area,TX,57762,0.002325259,57875,57683,57628,57762,-9,-192,-55,134,244,932,955,978,116,781,604,527,128,151,351,451,1,55,132,120,-137,-415,-537,-442,-136,-360,-405,-322,-1,17,-1,5
"East Stroudsburg, PA",20700,Micropolitan Statistical Area,PA,166053,-0.008348711,168314,168676,167451,166053,5,362,-1225,-1398,370,1415,1349,1338,478,1823,1809,1702,-108,-408,-460,-364,2,54,122,120,63,611,-836,-1165,65,665,-714,-1045,48,105,-51,11
"Easton, MD",20660,Micropolitan Statistical Area,MD,37823,0.000238007,37488,37756,37814,37823,-35,268,58,9,95,326,306,304,134,551,561,543,-39,-225,-255,-239,0,23,63,88,0,476,254,163,0,499,317,251,4,-6,-4,-3
"Eau Claire, WI",20740,Metropolitan Statistical Area,WI,174873,0.007687033,172238,172607,173539,174873,225,369,932,1334,463,1739,1733,1710,358,1709,1742,1615,105,30,-9,95,4,34,69,138,54,198,903,1092,58,232,972,1230,62,107,-31,9
"Edwards, CO",20780,Micropolitan Statistical Area,CO,54381,-0.015158101,55657,55774,55218,54381,-61,117,-556,-837,126,518,520,515,40,170,187,185,86,348,333,330,5,38,68,75,-149,-303,-975,-1242,-144,-265,-907,-1167,-3,34,18,0
"Effingham, IL",20820,Micropolitan Statistical Area,IL,44592,-0.00035868,45136,44860,44608,44592,7,-276,-252,-16,142,553,516,474,98,603,573,525,44,-50,-57,-51,0,8,25,39,-42,-250,-208,-4,-42,-242,-183,35,5,16,-12,0
"El Campo, TX",20900,Micropolitan Statistical Area,TX,41739,-2.39578E-05,41564,41652,41740,41739,-7,88,88,-1,141,504,537,555,122,580,575,534,19,-76,-38,21,0,26,41,42,-34,112,108,-67,-34,138,149,-25,8,26,-23,3
"El Centro, CA",20940,Metropolitan Statistical Area,CA,179057,0.00065385,179612,179138,178940,179057,-101,-474,-198,117,536,2318,2487,2424,432,1795,1449,1403,104,523,1038,1021,7,53,182,493,-233,-1109,-1417,-1410,-226,-1056,-1235,-917,21,59,-1,13
"El Dorado, AR",20980,Micropolitan Statistical Area,AR,37397,-0.011001507,38931,38375,37813,37397,-119,-556,-562,-416,99,440,467,462,149,635,618,573,-50,-195,-151,-111,0,6,37,53,-71,-369,-458,-358,-71,-363,-421,-305,2,2,10,0
"El Paso, TX",21340,Metropolitan Statistical Area,TX,873331,0.003073548,869802,870774,870655,873331,940,972,-119,2676,2694,10748,11014,11121,1558,8665,7097,6371,1136,2083,3917,4750,1,424,1725,1792,-489,-2134,-5669,-3907,-488,-1710,-3944,-2115,292,599,-92,41
"Elizabeth City, NC",21020,Micropolitan Statistical Area,NC,41444,0.006704236,40577,40807,41168,41444,10,230,361,276,113,485,466,429,134,515,524,489,-21,-30,-58,-60,1,14,29,31,20,241,377,303,21,255,406,334,10,5,13,2
"Elizabethtown, KY",21060,Metropolitan Statistical Area,KY,127576,0.005382488,125702,126905,126893,127576,145,1203,-12,683,393,1616,1497,1527,308,1483,1652,1411,85,133,-155,116,2,26,72,142,10,984,115,429,12,1010,187,571,48,60,-44,-4
"Elk City, OK",21120,Micropolitan Statistical Area,OK,22042,0.003003276,22334,22032,21976,22042,-74,-302,-56,66,56,242,225,221,51,322,306,285,5,-80,-81,-64,0,3,-6,-4,-77,-227,40,133,-77,-224,34,129,-2,2,-9,1
"Elkhart-Goshen, IN",21140,Metropolitan Statistical Area,IN,206409,-0.002242922,206991,207054,206873,206409,-55,63,-181,-464,707,2858,2915,2878,461,2127,2138,1901,246,731,777,977,8,160,419,475,-326,-926,-1329,-1925,-318,-766,-910,-1450,17,98,-48,9
"Elkins, WV",21180,Micropolitan Statistical Area,WV,27350,-0.007331591,27892,27898,27552,27350,-41,6,-346,-202,68,273,265,265,83,415,492,441,-15,-142,-227,-176,0,4,0,0,-31,130,-107,-25,-31,134,-107,-25,5,14,-12,-1
"Elko, NV",21220,Micropolitan Statistical Area,NV,56210,0.006590022,55516,55760,55842,56210,-36,244,82,368,166,699,638,584,97,463,543,523,69,236,95,61,0,17,21,-9,-100,-43,-11,312,-100,-26,10,303,-5,34,-23,4
"Ellensburg, WA",21260,Micropolitan Statistical Area,WA,45508,0.008554585,44599,44645,45122,45508,289,46,477,386,91,361,401,397,73,362,398,394,18,-1,3,3,0,18,18,9,293,11,442,375,293,29,460,384,-22,18,14,-1
"Elmira, NY",21300,Metropolitan Statistical Area,NY,81325,-0.003870604,83668,83039,81641,81325,-474,-629,-1398,-316,206,829,818,820,237,1155,1129,1073,-31,-326,-311,-253,0,17,97,87,-389,-367,-1233,-150,-389,-350,-1136,-63,-54,47,49,0
"Emporia, KS",21380,Micropolitan Statistical Area,KS,34751,0.004393191,34684,34632,34599,34751,-67,-52,-33,152,91,365,401,406,97,376,362,346,-6,-11,39,60,4,71,176,105,-65,-126,-244,-14,-61,-55,-68,91,0,14,-4,1
"Enid, OK",21420,Metropolitan Statistical Area,OK,62023,0.001162209,62691,61964,61951,62023,-148,-727,-13,72,182,823,819,819,166,867,886,781,16,-44,-67,38,6,43,76,121,-164,-721,9,-89,-158,-678,85,32,-6,-5,-31,2
"Enterprise, AL",21460,Micropolitan Statistical Area,AL,55643,0.014642597,53549,54199,54840,55643,90,650,641,803,159,726,673,676,174,733,691,630,-15,-7,-18,46,1,26,57,68,91,618,602,695,92,644,659,763,13,13,0,-6
"Erie, PA",21500,Metropolitan Statistical Area,PA,267571,-0.00472028,270578,269257,268840,267571,-314,-1321,-417,-1269,635,2631,2767,2738,753,3428,3397,3050,-118,-797,-630,-312,2,144,364,366,-241,-826,3,-1332,-239,-682,367,-966,43,158,-154,9
"Escanaba, MI",21540,Micropolitan Statistical Area,MI,36790,0.000244692,36870,36825,36781,36790,-33,-45,-44,9,77,346,336,314,119,618,561,528,-42,-272,-225,-214,0,0,-5,-4,0,217,196,228,0,217,191,224,9,10,-10,-1
"EspaÃ¯Â¿Â½ola, NM",21580,Micropolitan Statistical Area,NM,39876,-0.002875647,40271,40216,39991,39876,-89,-55,-225,-115,81,428,407,405,103,555,597,535,-22,-127,-190,-130,0,25,102,71,-68,18,-120,-54,-68,43,-18,17,1,29,-17,-2
"Eufaula, AL-GA",21640,Micropolitan Statistical Area,AL-GA,26865,-0.003486776,27196,26775,26959,26865,-270,-421,184,-94,66,294,300,285,107,429,408,393,-41,-135,-108,-108,0,0,2,13,-188,-283,276,1,-188,-283,278,14,-41,-3,14,0
"Eugene-Springfield, OR",21660,Metropolitan Statistical Area,OR,381181,-0.002616561,383308,384121,382181,381181,325,813,-1940,-1000,775,3026,3108,3033,949,4251,4774,4439,-174,-1225,-1666,-1406,8,193,438,255,414,1652,-482,154,422,1845,-44,409,77,193,-230,-3
"Eureka-Arcata, CA",21700,Micropolitan Statistical Area,CA,133985,-0.007106652,136262,134897,134944,133985,-200,-1365,47,-959,298,1222,1239,1225,335,1510,1613,1566,-37,-288,-374,-341,0,40,111,131,-182,-1129,334,-744,-182,-1089,445,-613,19,12,-24,-5
"Evanston, WY-UT",21740,Micropolitan Statistical Area,WY-UT,23415,0.001668378,22962,23281,23376,23415,4,319,95,39,64,269,263,257,49,183,219,200,15,86,44,57,0,0,-7,-7,-17,227,66,-12,-17,227,59,-19,6,6,-8,1
"Evansville, IN",21780,Metropolitan Statistical Area,IN,270717,0.003056778,269517,269987,269892,270717,279,470,-95,825,728,2919,2974,2948,823,3447,3383,3026,-95,-528,-409,-78,7,138,236,271,317,711,214,635,324,849,450,906,50,149,-136,-3
"Fairbanks-College, AK",21820,Metropolitan Statistical Area,AK,94840,-0.003802441,95337,95593,95202,94840,-323,256,-391,-362,336,1400,1448,1427,114,584,684,606,222,816,764,821,9,15,204,214,-519,-635,-1356,-1391,-510,-620,-1152,-1177,-35,60,-3,-6
"Fairmont, MN",21860,Micropolitan Statistical Area,MN,19657,5.08751E-05,19987,19923,19656,19657,-40,-64,-267,1,51,228,222,222,54,275,313,301,-3,-47,-91,-79,0,0,1,8,-34,-29,-182,75,-34,-29,-181,83,-3,12,5,-3
"Fairmont, WV",21900,Micropolitan Statistical Area,WV,55807,0.000412305,56240,56053,55784,55807,24,-187,-269,23,151,525,530,526,153,806,895,756,-2,-281,-365,-230,0,6,6,0,10,49,108,255,10,55,114,255,16,39,-18,-2
"Fallon, NV",21980,Micropolitan Statistical Area,NV,25803,0.000193813,25572,25664,25798,25803,54,92,134,5,63,262,284,280,78,385,398,376,-15,-123,-114,-96,0,3,-1,-4,72,206,244,106,72,209,243,102,-3,6,5,-1
"Fargo, ND-MN",22020,Metropolitan Statistical Area,ND-MN,262620,0.015651286,250220,255028,258573,262620,387,4808,3545,4047,815,3213,3215,2947,542,1884,1966,1816,273,1329,1249,1131,18,293,757,1240,27,3240,1533,1658,45,3533,2290,2898,69,-54,6,18
"Faribault-Northfield, MN",22060,Micropolitan Statistical Area,MN,67948,0.006294152,67102,67341,67523,67948,1,239,182,425,184,629,666,671,149,622,644,602,35,7,22,69,2,107,264,268,-49,76,-63,85,-47,183,201,353,13,49,-41,3
"Farmington, MO",22100,Micropolitan Statistical Area,MO,67058,0.002271844,66443,67010,66906,67058,-476,567,-104,152,168,660,665,654,178,1062,1006,903,-10,-402,-341,-249,0,12,39,30,-386,962,244,367,-386,974,283,397,-80,-5,-46,4
"Farmington, NM",22140,Metropolitan Statistical Area,NM,120675,0.000879165,121376,120996,120569,120675,-290,-380,-427,106,344,1326,1320,1326,440,1484,1716,1490,-96,-158,-396,-164,1,40,113,72,-205,-333,-102,195,-204,-293,11,267,10,71,-42,3
"Fayetteville, NC",22180,Metropolitan Statistical Area,NC,392336,0.00477371,387706,391067,390472,392336,899,3361,-595,1864,1505,5960,6207,6213,871,3848,4048,3710,634,2112,2159,2503,8,288,1036,1247,174,723,-3762,-1894,182,1011,-2726,-647,83,238,-28,8
"Fayetteville, TN",22190,Micropolitan Statistical Area,TN,36169,0.004527023,35331,35435,36006,36169,11,104,571,163,83,371,399,421,127,564,563,511,-44,-193,-164,-90,1,5,10,18,47,279,719,235,48,284,729,253,7,13,6,0
"Fayetteville-Springdale-Rogers, AR",22220,Metropolitan Statistical Area,AR,590337,0.023172902,549937,563008,576967,590337,3212,13071,13959,13370,1696,6854,7345,7404,997,4671,4917,4328,699,2183,2428,3076,51,580,1810,2234,2569,10522,9407,8003,2620,11102,11217,10237,-107,-214,314,57
"Fergus Falls, MN",22260,Micropolitan Statistical Area,MN,60626,0.001354387,60099,60231,60544,60626,4,132,313,82,150,580,641,623,188,775,813,755,-38,-195,-172,-132,0,8,15,20,34,295,475,196,34,303,490,216,8,24,-5,-2
"Findlay, OH",22300,Micropolitan Statistical Area,OH,74704,-0.000936154,74928,74764,74774,74704,8,-164,10,-70,219,855,835,840,172,951,938,851,47,-96,-103,-11,4,72,137,164,-61,-189,19,-226,-57,-117,156,-62,18,49,-43,3
"Fitzgerald, GA",22340,Micropolitan Statistical Area,GA,17128,0.004162514,17168,17128,17057,17128,-26,-40,-71,71,51,201,206,211,64,324,291,273,-13,-123,-85,-62,0,4,4,4,-15,67,19,128,-15,71,23,132,2,12,-9,1
"Flagstaff, AZ",22380,Metropolitan Statistical Area,AZ,144472,0.001726493,145192,142897,144223,144472,88,-2295,1326,249,335,1336,1323,1315,289,1140,1126,1059,46,196,197,256,-4,99,286,292,-13,-2497,811,-296,-17,-2398,1097,-4,59,-93,32,-3
"Flint, MI",22420,Metropolitan Statistical Area,MI,401522,-0.000997704,405777,404627,401923,401522,-440,-1150,-2704,-401,1052,4325,4404,4337,1498,5496,5610,4972,-446,-1171,-1206,-635,0,83,251,331,-103,-364,-1604,-110,-103,-281,-1353,221,109,302,-145,13
"Florence, SC",22500,Metropolitan Statistical Area,SC,199630,0.002279391,199665,199126,199176,199630,-300,-539,50,454,555,2359,2329,2294,720,3294,3193,2803,-165,-935,-864,-509,3,52,211,181,-165,216,815,783,-162,268,1026,964,27,128,-112,-1
"Florence-Muscle Shoals, AL",22520,Metropolitan Statistical Area,AL,155175,0.008494294,151329,152497,153868,155175,535,1168,1371,1307,386,1582,1576,1584,481,2305,2203,1984,-95,-723,-627,-400,3,42,62,105,675,1848,1913,1592,678,1890,1975,1697,-48,1,23,10
"Fond du Lac, WI",22540,Metropolitan Statistical Area,WI,103948,0.00131006,104169,104116,103812,103948,9,-53,-304,136,252,974,1011,1005,273,1205,1235,1136,-21,-231,-224,-131,2,24,125,212,0,85,-156,55,2,109,-31,267,28,69,-49,0
"Forest City, NC",22580,Micropolitan Statistical Area,NC,65507,0.008653476,64486,64616,64945,65507,40,130,329,562,149,634,631,630,212,1112,1116,1016,-63,-478,-485,-386,0,6,21,24,96,593,778,925,96,599,799,949,7,9,15,-1
"Forrest City, AR",22620,Micropolitan Statistical Area,AR,22101,-0.0134363,23021,22715,22402,22101,-73,-306,-313,-301,60,300,282,269,79,321,344,329,-19,-21,-62,-60,0,24,38,42,-53,-308,-285,-282,-53,-284,-247,-240,-1,-1,-4,-1
"Fort Collins-Loveland, CO",22660,Metropolitan Statistical Area,CO,370771,0.008689336,359923,362747,367577,370771,849,2824,4830,3194,790,3039,3111,3094,652,2753,2968,2638,138,286,143,456,3,180,400,471,656,2202,4148,2249,659,2382,4548,2720,52,156,139,18
"Fort Dodge, IA",22700,Micropolitan Statistical Area,IA,36485,-0.004556368,36996,37170,36652,36485,-6,174,-518,-167,123,413,415,409,118,540,518,476,5,-127,-103,-67,1,21,92,107,-19,278,-523,-210,-18,299,-431,-103,7,2,16,3
"Fort Leonard Wood, MO",22780,Micropolitan Statistical Area,MO,53812,3.71678E-05,54010,53815,53810,53812,50,-195,-5,2,177,699,718,712,89,452,459,418,88,247,259,294,38,-28,59,37,-91,-432,-300,-328,-53,-460,-241,-291,15,18,-23,-1
"Fort Madison, IA",22800,Micropolitan Statistical Area,IA,32565,-0.00804167,33533,33257,32829,32565,-26,-276,-428,-264,75,346,336,338,106,484,529,485,-31,-138,-193,-147,0,0,-5,-5,-1,-152,-223,-114,-1,-152,-228,-119,6,14,-7,2
"Fort Morgan, CO",22820,Micropolitan Statistical Area,CO,29524,0.008815691,29076,29006,29266,29524,-32,-70,260,258,119,382,407,407,103,310,320,303,16,72,87,104,2,94,198,218,-51,-245,-9,-64,-49,-151,189,154,1,9,-16,0
"Fort Payne, AL",22840,Micropolitan Statistical Area,AL,72569,0.006756194,71659,71912,72082,72569,42,253,170,487,188,828,834,835,222,1071,1063,945,-34,-243,-229,-110,4,35,71,100,48,422,363,495,52,457,434,595,24,39,-35,2
"Fort Smith, AR-OK",22900,Metropolitan Statistical Area,AR-OK,231280,0.005779492,227207,228266,229951,231280,2,1059,1685,1329,656,2745,2871,2931,656,3265,3249,2884,0,-520,-378,47,6,136,249,334,-66,1337,1845,947,-60,1473,2094,1281,62,106,-31,1
"Fort Wayne, IN",23060,Metropolitan Statistical Area,IN,457842,0.007311026,448587,451787,454519,457842,843,3200,2732,3323,1433,5858,6003,5973,1109,4798,4749,4230,324,1060,1254,1743,8,352,910,1050,387,1500,804,515,395,1852,1714,1565,124,288,-236,15
"Frankfort, IN",23140,Micropolitan Statistical Area,IN,32730,-0.001190149,33178,32983,32769,32730,-11,-195,-214,-39,126,372,392,395,105,449,442,416,21,-77,-50,-21,0,14,17,14,-33,-146,-164,-33,-33,-132,-147,-19,1,14,-17,1
"Frankfort, KY",23180,Micropolitan Statistical Area,KY,76257,0.005750386,75477,75798,75821,76257,74,321,23,436,200,771,764,761,232,941,1080,967,-32,-170,-316,-206,0,26,68,98,90,424,305,544,90,450,373,642,16,41,-34,0
"Franklin, KY",23190,Micropolitan Statistical Area,KY,20195,0.012382194,19633,19734,19948,20195,32,101,214,247,62,228,215,211,59,261,271,256,3,-33,-56,-45,0,1,-8,-8,24,125,270,303,24,126,262,295,5,8,8,-3
"Fredericksburg, TX",23240,Micropolitan Statistical Area,TX,27733,0.008436057,26748,27293,27501,27733,22,545,208,232,66,239,240,246,93,411,413,384,-27,-172,-173,-138,0,33,119,109,50,714,265,263,50,747,384,372,-1,-30,-3,-2
"Freeport, IL",23300,Micropolitan Statistical Area,IL,43105,-0.010354486,44503,44062,43556,43105,-128,-441,-506,-451,106,452,382,314,137,685,663,623,-31,-233,-281,-309,0,4,25,33,-93,-225,-244,-175,-93,-221,-219,-142,-4,13,-6,0
"Fremont, NE",23340,Micropolitan Statistical Area,NE,37187,0.003833176,37116,37128,37045,37187,-55,12,-83,142,113,472,488,489,122,519,487,448,-9,-47,1,41,0,17,23,37,-46,21,-95,63,-46,38,-72,100,0,21,-12,1
"Fremont, OH",23380,Micropolitan Statistical Area,OH,58709,0.002424574,58856,58741,58567,58709,-30,-115,-174,142,156,568,575,577,172,800,855,762,-16,-232,-280,-185,2,45,80,83,-27,30,58,245,-25,75,138,328,11,42,-32,-1
"Fresno, CA",23420,Metropolitan Statistical Area,CA,1180020,0.003684651,1165897,1172069,1175688,1180020,993,6172,3619,4332,3805,15735,16211,15957,2157,10961,10358,9803,1648,4774,5853,6154,4,534,1740,2380,-947,192,-3566,-4271,-943,726,-1826,-1891,288,672,-408,69
"Gadsden, AL",23460,Metropolitan Statistical Area,AL,103241,0.003284647,103453,103010,102903,103241,19,-443,-107,338,289,1097,1156,1170,362,1880,1813,1630,-73,-783,-657,-460,0,19,64,69,58,249,522,733,58,268,586,802,34,72,-36,-4
"Gaffney, SC",23500,Micropolitan Statistical Area,SC,56714,0.010566455,56220,56098,56121,56714,-4,-122,23,593,142,669,656,659,179,884,935,843,-37,-215,-279,-184,2,35,46,51,13,12,286,728,15,47,332,779,18,46,-30,-2
