Geographic Area Name,CBSA code,Metro vs Micro,Population,States,Primary State,Primary State Name
"Chillicothe, OH Micro Area",17060,Micropolitan Statistical Area,76748,OH,OH,Ohio
"Clarksburg, WV Micro Area",17220,Micropolitan Statistical Area,89717,WV,WV,West Virginia
"Clarksdale, MS Micro Area",17260,Micropolitan Statistical Area,20808,MS,MS,Mississippi
"Clearlake, CA Micro Area",17340,Micropolitan Statistical Area,68139,CA,CA,California
"Cleveland, MS Micro Area",17380,Micropolitan Statistical Area,30163,MS,MS,Mississippi
"Clewiston, FL Micro Area",17500,Micropolitan Statistical Area,53122,FL,FL,Florida
"Clinton, IA Micro Area",17540,Micropolitan Statistical Area,46383,IA,IA,Iowa
"Clovis, NM Micro Area",17580,Micropolitan Statistical Area,66934,NM,NM,New Mexico
"Coamo, PR Micro Area",17620,Micropolitan Statistical Area,54358,PR,PR,Puerto Rico
"Coco, PR Micro Area",17640,Micropolitan Statistical Area,25397,PR,PR,Puerto Rico
"Cody, WY Micro Area",17650,Micropolitan Statistical Area,30109,WY,WY,Wyoming
"Coldwater, MI Micro Area",17740,Micropolitan Statistical Area,44914,MI,MI,Michigan
"Columbus, MS Micro Area",18060,Micropolitan Statistical Area,68323,MS,MS,Mississippi
"Columbus, NE Micro Area",18100,Micropolitan Statistical Area,44899,NE,NE,Nebraska
"Concord, NH Micro Area",18180,Micropolitan Statistical Area,155018,NH,NH,New Hampshire
"Connersville, IN Micro Area",18220,Micropolitan Statistical Area,23390,IN,IN,Indiana
"Cookeville, TN Micro Area",18260,Micropolitan Statistical Area,143819,TN,TN,Tennessee
"Coos Bay-North Bend, OR Micro Area",18300,Micropolitan Statistical Area,64832,OR,OR,Oregon
"Corbin, KY Micro Area",18340,Micropolitan Statistical Area,149625,KY,KY,Kentucky
"Cordele, GA Micro Area",18380,Micropolitan Statistical Area,19995,GA,GA,Georgia
"Corinth, MS Micro Area",18420,Micropolitan Statistical Area,34500,MS,MS,Mississippi
"Cornelia, GA Micro Area",18460,Micropolitan Statistical Area,46948,GA,GA,Georgia
"Corning, NY Micro Area",18500,Micropolitan Statistical Area,93034,NY,NY,New York
"Corsicana, TX Micro Area",18620,Micropolitan Statistical Area,53735,TX,TX,Texas
"Cortland, NY Micro Area",18660,Micropolitan Statistical Area,46401,NY,NY,New York
"Coshocton, OH Micro Area",18740,Micropolitan Statistical Area,36679,OH,OH,Ohio
"Crawfordsville, IN Micro Area",18820,Micropolitan Statistical Area,38155,IN,IN,Indiana
"Crescent City, CA Micro Area",18860,Micropolitan Statistical Area,27293,CA,CA,California
"Crossville, TN Micro Area",18900,Micropolitan Statistical Area,62529,TN,TN,Tennessee
"Cullman, AL Micro Area",18980,Micropolitan Statistical Area,89463,AL,AL,Alabama
"Cumberland, MD-WV Micro Area",19060,Micropolitan Statistical Area,94684,MD-WV,MD,Maryland
"Danville, IL Micro Area",19180,Micropolitan Statistical Area,73179,IL,IL,Illinois
"Danville, KY Micro Area",19220,Micropolitan Statistical Area,55123,KY,KY,Kentucky
"Danville, VA Micro Area",19260,Micropolitan Statistical Area,102387,VA,VA,Virginia
"Decatur, IN Micro Area",19540,Micropolitan Statistical Area,35995,IN,IN,Indiana
"Defiance, OH Micro Area",19580,Micropolitan Statistical Area,38258,OH,OH,Ohio
"Del Rio, TX Micro Area",19620,Micropolitan Statistical Area,47647,TX,TX,Texas
"Deming, NM Micro Area",19700,Micropolitan Statistical Area,25420,NM,NM,New Mexico
"DeRidder, LA Micro Area",19760,Micropolitan Statistical Area,36646,LA,LA,Louisiana
"Detroit Lakes, MN Micro Area",19810,Micropolitan Statistical Area,35260,MN,MN,Minnesota
"Dickinson, ND Micro Area",19860,Micropolitan Statistical Area,38107,ND,ND,North Dakota
"Dixon, IL Micro Area",19940,Micropolitan Statistical Area,34058,IL,IL,Illinois
"Dodge City, KS Micro Area",19980,Micropolitan Statistical Area,34133,KS,KS,Kansas
"Douglas, GA Micro Area",20060,Micropolitan Statistical Area,51422,GA,GA,Georgia
"Dublin, GA Micro Area",20140,Micropolitan Statistical Area,58811,GA,GA,Georgia
"DuBois, PA Micro Area",20180,Micropolitan Statistical Area,78902,PA,PA,Pennsylvania
"Dumas, TX Micro Area",20300,Micropolitan Statistical Area,21234,TX,TX,Texas
"Duncan, OK Micro Area",20340,Micropolitan Statistical Area,43314,OK,OK,Oklahoma
"Durango, CO Micro Area",20420,Micropolitan Statistical Area,56088,CO,CO,Colorado
"Durant, OK Micro Area",20460,Micropolitan Statistical Area,47237,OK,OK,Oklahoma
"Dyersburg, TN Micro Area",20540,Micropolitan Statistical Area,36681,TN,TN,Tennessee
"Easton, MD Micro Area",20660,Micropolitan Statistical Area,37707,MD,MD,Maryland
"East Stroudsburg, PA Micro Area",20700,Micropolitan Statistical Area,167784,PA,PA,Pennsylvania
"Edwards, CO Micro Area",20780,Micropolitan Statistical Area,55374,CO,CO,Colorado
"Effingham, IL Micro Area",20820,Micropolitan Statistical Area,44883,IL,IL,Illinois
"El Campo, TX Micro Area",20900,Micropolitan Statistical Area,41651,TX,TX,Texas
"El Dorado, AR Micro Area",20980,Micropolitan Statistical Area,38368,AR,AR,Arkansas
"Elizabeth City, NC Micro Area",21020,Micropolitan Statistical Area,40830,NC,NC,North Carolina
"Elk City, OK Micro Area",21120,Micropolitan Statistical Area,22202,OK,OK,Oklahoma
"Elkins, WV Micro Area",21180,Micropolitan Statistical Area,27782,WV,WV,West Virginia
"Elko, NV Micro Area",21220,Micropolitan Statistical Area,55512,NV,NV,Nevada
"Ellensburg, WA Micro Area",21260,Micropolitan Statistical Area,44736,WA,WA,Washington
"Emporia, KS Micro Area",21380,Micropolitan Statistical Area,34724,KS,KS,Kansas
"Enterprise, AL Micro Area",21460,Micropolitan Statistical Area,54231,AL,AL,Alabama
"Escanaba, MI Micro Area",21540,Micropolitan Statistical Area,36829,MI,MI,Michigan
"Española, NM Micro Area",21580,Micropolitan Statistical Area,40165,NM,NM,New Mexico
"Eufaula, AL-GA Micro Area",21640,Micropolitan Statistical Area,26849,AL-GA,AL,Alabama
